,Province or Territory,1951[11],1961[11],1972[11],1981[11],1998[11],2017[3],2023[13]
0,Punjab,20540762,25463974,37607423,47292441,73691290,109989655,127688922.0
1,Sindh,6047748,8367065,14155909,19028666,30439893,47854510,55696147.0
2,Khyber Pakhtunkhwa,5888550,7578186,10879781,13259875,20919976,35501964,40856097.0
3,Balochistan,1167167,1353484,2428678,4332376,6565885,12335129,14894402.0
4,ICT,—,117669,237549,340286,805235,2003368,2363863.0
5,Four Provinces and ICT,33740167,42880378,65309340,84253644,132352279,207684626,241499431.0
6,Azad Kashmir[4],886000,1065000,1573000,1983465,2972501,4045367,
7,Gilgit-Baltistan[5],—,—,—,—,884000,1492924,
8,Total Pakistan,—,—,—,—,136208780,213222917,
